,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
71,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[1]/div/a/div/div/div/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div/a/div/div/div/div/div,21,380,550,281.0,279.20001220703125,18,2,0,0,0,0,0,0,0,0
72,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[1]/div/a/div/div/div/div/div/ul/li[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div/a/div/div/div/div/div/ul/li[]/div,24,380,550,281.0,279.20001220703125,1,2,0,0,0,0,0,0,0,0
73,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[1]/div/a/div/div/div/div/div/ul/li[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div/a/div/div/div/div/div/ul/li[]/div,24,380,550,281.0,279.20001220703125,1,2,0,0,0,0,0,0,0,0
74,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],14,671,550,281.0,618.7999877929688,89,1,12,12,12,0,0,0,0,0
75,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[],15,671,602,217.0,606.7999877929688,82,1,0,0,0,0,0,0,0,0
76,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[2]/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div[],16,671,602,217.0,345.8666687011719,40,1,0,24,0,0,0,0,0,0
77,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[2]/div[2]/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div,17,671,602,217.0,345.8666687011719,39,4,0,0,0,0,0,-24,0,0
78,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[2]/div[2]/div[1]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div,18,671,602,217.0,345.8666687011719,38,4,0,0,0,0,0,0,0,0
79,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],19,671,602,217.0,207.51666259765625,17,1,0,0,0,0,0,0,0,0
80,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div[2]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div,20,671,602,171.0,206.51666259765625,16,10,0,12,0,0,0,0,0,0
