,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
368,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div,13,656,5466,258.0,910.0,84,2,0,0,0,0,0,0,0,0,False
369,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[],14,656,5466,258.0,910.0,82,9,0,0,0,0,0,0,0,0,False
370,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],15,656,5466,258.0,291.20001220703125,11,1,0,12,0,0,0,0,0,0,False
371,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div,16,656,5466,258.0,279.20001220703125,10,1,0,0,0,0,0,0,0,0,False
372,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[1]/div/a/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div/a/div,18,656,5466,258.0,279.20001220703125,1,5,0,0,0,0,0,0,0,0,False
373,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],15,948,5466,258.0,618.7999877929688,69,1,12,12,12,0,0,0,0,0,False
374,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[],16,948,5518,178.39999389648438,606.7999877929688,62,1,0,0,0,0,0,0,0,0,False
375,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[],17,1227,5518,178.39999389648438,327.29998779296875,36,1,0,24,0,0,0,0,0,0,False
376,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div,18,1227,5518,178.39999389648438,327.29998779296875,35,4,0,0,0,0,0,-24,0,0,False
377,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[1]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div,19,1227,5518,178.39999389648438,327.29998779296875,34,4,0,0,0,0,0,0,0,0,False
378,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],20,1358,5518,178.39999389648438,196.36666870117188,13,1,0,6,0,12,0,0,0,0,False
379,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div,21,1370,5518,137.0,178.36666870117188,12,10,0,12,0,0,0,0,0,0,False
380,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1]/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div/div[],22,1370,5518,88.0,166.36666870117188,9,1,0,0,0,0,0,0,0,0,False
381,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],20,1227,5518,178.39999389648438,130.9166717529297,19,1,8,8,0,8,0,0,0,-4,False
382,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25]/div/div[1]/div[2]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[],17,948,5518,178.39999389648438,267.5,24,1,0,6,0,0,0,12,0,0,False
383,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[26],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[],12,656,5733,260.0,912.0,88,5,0,0,0,0,8,0,0,0,True
384,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[26]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div,13,656,5734,258.0,910.0,87,2,0,0,0,0,0,0,0,0,False
385,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[26]/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[],14,656,5734,258.0,910.0,85,8,0,0,0,0,0,0,0,0,False
386,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[26]/div/div[1]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],15,656,5734,258.0,291.20001220703125,11,1,0,12,0,0,0,0,0,0,False
