,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
64,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[3]/div/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div/div[],24,906,530,142.0,143.0,12,1,0,0,0,0,0,0,0,0
65,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[],17,336,744,211.0,726.0,130,8,0,0,0,0,0,0,16,0
66,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div,18,337,745,209.0,724.0,124,1,0,0,0,0,0,0,0,0
67,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[],19,337,745,209.0,724.0,110,3,0,0,0,0,0,0,0,0
68,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div,20,337,745,209.0,724.0,109,1,0,0,0,0,0,0,0,0
69,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,337,745,209.0,226.0,5,1,0,0,0,0,0,0,0,0
70,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,337,745,209.0,226.0,4,3,0,0,0,0,0,0,0,0
71,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[1]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,337,745,209.0,226.0,3,2,0,0,0,0,0,0,0,0
72,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,169,745,209.0,724.0,82,1,0,0,0,394.05,0,0,0,-394.05
73,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[2]/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[],22,563,745,152.0,329.95001220703125,33,2,0,0,0,0,0,0,0,0
74,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[2]/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[]/div,23,563,745,152.0,329.95001220703125,32,1,14,23,10,23,0,0,0,0
75,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,893,745,209.0,168.0,19,1,0,0,0,0,0,0,0,0
76,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[3]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,894,745,209.0,167.0,18,3,0,0,0,0,0,0,0,0
77,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[3]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,894,745,209.0,167.0,17,2,12,12,12,12,0,0,0,0
78,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[4]/div/div[2]/div/div[3]/div/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div/div[],24,906,757,142.0,143.0,13,1,0,0,0,0,0,0,0,0
79,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[],17,336,971,211.0,726.0,87,8,0,0,0,0,0,0,16,0
80,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div,18,337,972,209.0,724.0,81,1,0,0,0,0,0,0,0,0
81,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[],19,337,972,209.0,724.0,67,3,0,0,0,0,0,0,0,0
82,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div,20,337,972,209.0,724.0,66,1,0,0,0,0,0,0,0,0
83,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,337,972,209.0,226.0,5,1,0,0,0,0,0,0,0,0
84,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,337,972,209.0,226.0,4,3,0,0,0,0,0,0,0,0
85,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[1]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,337,972,209.0,226.0,3,2,0,0,0,0,0,0,0,0
86,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,169,972,209.0,724.0,39,1,0,0,0,394.05,0,0,0,-394.05
87,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[2]/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[],22,563,972,152.0,329.95001220703125,29,2,0,0,0,0,0,0,0,0
88,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[2]/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[]/div,23,563,972,152.0,329.95001220703125,28,1,14,23,10,23,0,0,0,0
89,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,893,972,209.0,168.0,19,1,0,0,0,0,0,0,0,0
90,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[3]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,894,972,209.0,167.0,18,3,0,0,0,0,0,0,0,0
91,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[3]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,894,972,209.0,167.0,17,2,12,12,12,12,0,0,0,0
92,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[6]/div/div[2]/div/div[3]/div/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div/div[],24,906,984,142.0,143.0,13,1,0,0,0,0,0,0,0,0
