,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
129,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div,15,524,3953,446.566650390625,300.0,30,1,0,0,0,0,0,0,20,0
130,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div,16,524,3953,446.566650390625,300.0,29,1,0,0,0,0,0,0,0,0
131,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div,17,514,4005,394.75,320.0,22,1,0,0,0,0,0,-10,0,-10
132,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div,18,514,4005,394.75,320.0,21,1,0,10,0,10,0,0,0,0
133,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,524,4005,168.75,300.0,4,9,0,0,0,0,0,0,0,0
134,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div,20,524,4005,168.75,300.0,3,1,0,0,0,0,0,0,0,0
135,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div,21,524,4005,168.75,300.0,2,1,0,0,168.75,0,0,0,0,0
136,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div/div[1]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div/div,22,524,4005,168.75,300.0,1,1,0,0,0,0,0,0,0,0
137,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div/div[3],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,524,4186,214.0,300.0,10,1,15,15,0,15,0,0,0,0
138,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div/div[3]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,540,4201,120.0,270.0,6,2,0,0,0,0,0,0,0,0
139,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div/div/div/div/div/div[3]/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,530,4321,79.0,290.0,2,1,15,0,20,0,0,-10,0,-10
140,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[],13,834,3953,466.566650390625,320.0,32,1,0,10,0,10,0,0,0,0
141,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div,14,844,3953,446.566650390625,300.0,31,8,0,0,0,0,0,0,0,0
142,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div,15,844,3953,446.566650390625,300.0,30,1,0,0,0,0,0,0,20,0
